,okved,cluster
1,TRAJ8,0
2,TRAJ6,0
8,MIR6807,1
14,TRBV18,2
18,OR8B1P,3
19,IGLV3-22,4
25,TRAJ35,0
27,CT47A2,5
31,TRAJ1,0
32,TRAJ26,0
34,MIR12129,1
35,IGHV3-21,6
36,IGHV3-16,7
43,OR8B10P,3
44,TRAJ14,0
45,USP17L20,8
46,USP17L22,8
47,IGLV5-37,4
53,IGKV1-39,6
62,TRAJ29,0
64,MIR3689A,9
70,CT47A6,5
71,TRAJ45,0
72,TRAJ48,0
75,TRAV9-2,2
76,MIR6835,1
81,PLA2G2E,10
83,CT47A9,5
87,USP17L17,8
89,OR8B9P,3
93,IGHV3-38,7
97,MIR4999,1
100,OR8X1P,3
107,TRNAV-CAC,11
109,OR5AC4P,12
113,IGKV2-30,6
117,TRAJ13,0
120,TRAJ37,0
123,MIR6511A1,13
125,USP17L28,8
127,OR4A18P,12
134,CT47A1,5
135,OR4A19P,14
141,TRBV29-1,2
144,TRAJ34,0
146,MIR5704,15
147,MIR6509,1
148,TRAJ39,0
153,MIR3181,1
155,IGKV1D-12,16
158,IGHV1OR15-9,7
161,OR2AM1P,12
164,PLA2G2D,10
167,OR8A2P,3
169,OR6C66P,12
170,MIR6511A2,13
172,MIR4433B,17
180,TRAJ53,0
182,IGLV11-55,4
183,OR52Q1P,12
184,TRBV5-6,2
187,TRNAI-AAU,11
193,IGLV1-47,6
197,MIR6829,15
198,MIR378I,17
204,IGLV5-45,4
207,MIR7977,17
208,PLA2G12B,10
210,OR5BP1P,18
212,MIR6833,19
217,IGHV3-13,16
221,IGLV2-14,6
223,IGHV5-51,6
226,OR52E7P,12
227,MIR6825,15
228,TRBV6-2,2
229,MIR3135B,19
231,TRAV21,2
247,TRAJ33,0
249,IGLV2-33,4
251,MIR6737,1
253,IGHV4-4,7
255,CT47A4,5
257,TRAJ58,0
258,IGKV6D-21,20
260,USP17L19,8
261,IGHV3OR16-12,7
262,OR5D2P,18
265,OR8C1P,3
272,MIR7974,1
273,IGLV3-12,4
275,MIR6873,19
277,TRAV14DV4,2
281,TRBV5-1,2
282,CT47A3,5
287,TRBV5-7,21
291,MIR3689E,9
293,TRBV6-8,21
294,IGKV1-12,6
298,TRAV8-4,2
301,TRBV7-9,2
302,IGKV2-40,20
303,USP17L13,8
305,TRBV9,2
306,IGHV3-35,7
315,IGHV3-64,7
319,TFAP2A-AS2,1
321,OR9I3P,18
328,MIR3689C,9
330,MIR6736,1
334,MIR6752,1
336,USP17L10,8
338,CT47A5,5
340,TRBV6-5,2
343,OR5B10P,18
348,USP17L15,8
350,IGKV3D-20,16
358,MIR5787,15
359,MIR10400,1
361,PLA2G2F,10
367,MIR7110,15
374,MIR6791,1
376,IGKV1-16,16
378,IGLV3-21,6
383,IGHV3-53,16
384,OR5B19P,12
388,TRBV6-1,2
390,MIR5588,17
391,CT47A8,5
392,OR9I2P,18
395,TRBV7-2,2
399,TRAJ40,0
400,TRAJ25,0
402,OR8V1P,18
404,OR7E106P,14
409,IGHV3OR16-9,7
410,TRBJ2-5,21
414,MIR1285-1,17
415,USP17L26,8
426,MIR3689B,9
427,USP17L29,8
431,IGKV3-11,6
433,USP17L27,8
438,MIR5088,1
439,TRBV4-3,21
440,TRBJ2-4,21
442,IGHV3-11,16
445,IGLV2-8,6
452,IGHV3-7,6
455,TRNAG-GCC,11
459,TRAV13-1,2
465,TRNAG-UCC,11
467,USP17L21,8
469,TRAJ22,0
470,IGHV3OR16-13,7
471,MIR6770-2,13
474,OR7E109P,14
475,IGLV8-61,4
477,TRAJ43,0
478,MIR4507,17
481,TRAJ21,0
486,MIR7704,17
487,TRAJ32,0
490,TRBV4-1,2
493,OR9M1P,12
507,OR4A46P,12
511,MIR6721,19
513,IGLV3-16,4
517,USP17L25,8
521,MIR6770-1,13
522,MIR6786,1
523,IGKV1-13,20
524,IGKV2D-40,16
528,OR51P1P,12
530,TRAJ36,0
532,TRAJ52,0
533,OR11G1P,14
534,IGKV2-28,6
537,TRAJ5,0
538,PLSCR5,10
542,MIR6832,19
545,TRBV2,2
547,MIR6743,1
553,IGLV10-54,4
556,IGKV1-17,6
564,TRAJ42,0
569,MIR6514,13
570,MIR6852,17
575,IGKV3-15,6
578,TRAV26-1,2
590,IGLV4-69,4
595,TRAJ16,0
596,MIR3689D1,9
598,MIR151B,17
599,OR52X1P,12
606,TRAV12-1,2
612,TRAV12-3,2
613,USP17L30,8
618,MIR3689F,9
624,TRAV29DV5,2
628,OR7E111P,14
629,MIR6741,17
639,OR5B15P,18
640,TRAV17,2
644,TRAJ57,0
647,CT47A10,5
648,MIR6838,1
650,USP17L18,8
655,TRAJ20,0
657,IGHV3OR15-7,7
658,TRBV3-1,2
661,TRAJ38,0
662,IGKV1D-16,16
667,IGHV3OR16-8,7
669,IGKV6-21,20
671,OR4D7P,18
672,TRAJ9,0
675,IGKV2D-30,16
676,TRNAD-GUC,11
679,MIR3689D2,9
680,MIR7976,15
684,OR7E23P,14
687,OR7E43P,14
688,TRBV6-3,21
692,IGKV5-2,16
693,TRAJ27,0
696,IGHV4-59,6
703,TRAV8-2,2
704,TRAJ24,0
706,TRAJ7,0
709,TRNAA-AGC,11
713,TRAV8-6,2
714,MIR4448,17
718,IGKV2D-26,20
719,IGKV3D-7,20
720,TRAV4,2
725,OR7E31P,14
726,USP17L24,8
729,OR8Q1P,3
731,OR7E105P,12
735,TRAJ54,0
737,IGHV4-28,7
