,okved,cluster
1,TRAJ8,1
2,TRAJ6,1
5,ANKRD20A2P,84
8,MIR6807,71
11,HNRNPCL3,64
13,PRR20B,35
14,TRBV18,8
17,MIR4773-2,25
18,OR8B1P,45
19,IGLV3-22,10
25,TRAJ35,1
26,DUX4L2,41
27,CT47A2,13
28,MIR7706,82
31,TRAJ1,1
32,TRAJ26,1
34,MIR12129,71
35,IGHV3-21,3
36,IGHV3-16,21
39,MIR4659A,12
40,MIR3180-2,65
41,USP17L3,17
43,OR8B10P,45
44,TRAJ14,1
45,USP17L20,27
46,USP17L22,27
47,IGLV5-37,10
53,IGKV1-39,3
59,MIR1302-2,68
62,TRAJ29,1
64,MIR3689A,24
66,MIR6848,56
67,MBD3L4,23
68,TTTY17C,55
70,CT47A6,13
71,TRAJ45,1
72,TRAJ48,1
74,PRR20D,35
75,TRAV9-2,8
76,MIR6835,71
78,CPHXL,78
81,PLA2G2E,26
83,CT47A9,13
86,TTTY17B,55
87,USP17L17,27
89,OR8B9P,45
92,ZNF664-RFLNA,91
93,IGHV3-38,21
94,H2AC18,50
96,DAZ1,15
97,MIR4999,71
99,RNA5-8SN3,60
100,OR8X1P,45
101,MIR3914-2,48
105,MIR7850,16
107,TRNAV-CAC,0
109,OR5AC4P,19
112,MIR3160-2,90
113,IGKV2-30,3
114,H3C9P,75
117,TRAJ13,1
118,MIR7107,59
120,TRAJ37,1
122,PRR20C,35
123,MIR6511A1,2
124,MIR3191,18
125,USP17L28,27
126,MBD3L5,23
127,OR4A18P,19
128,MIR3926-2,81
129,MIR3155A,33
133,DUX4L3,41
134,CT47A1,13
135,OR4A19P,36
138,MIR5000,46
141,TRBV29-1,8
144,TRAJ34,1
145,H2BC13,40
146,MIR5704,44
147,MIR6509,71
148,TRAJ39,1
152,DUX4L5,41
153,MIR3181,71
154,MIR4659B,12
155,IGKV1D-12,9
158,IGHV1OR15-9,21
160,ZNF660-ZNF197,91
161,OR2AM1P,19
164,PLA2G2D,26
165,MIR6088,62
166,MIR4435-1,57
167,OR8A2P,45
169,OR6C66P,19
170,MIR6511A2,2
171,DAZ2,15
172,MIR4433B,42
180,TRAJ53,1
182,IGLV11-55,10
183,OR52Q1P,19
184,TRBV5-6,8
187,TRNAI-AAU,0
188,MIR941-4,86
191,CT45A9,67
192,MIR3180-1,65
193,IGLV1-47,3
194,MIR8071-2,22
195,DUX4L6,41
197,MIR6829,44
198,MIR378I,42
199,MIR550B2,58
200,MIR941-2,86
202,OR5AO1P,75
204,IGLV5-45,10
206,MIR514A3,79
207,MIR7977,42
208,PLA2G12B,26
210,OR5BP1P,34
211,MIR3119-2,14
212,MIR6833,5
215,FAM236A,28
217,IGHV3-13,9
221,IGLV2-14,3
223,IGHV5-51,3
224,FAM90A18,72
226,OR52E7P,19
227,MIR6825,44
228,TRBV6-2,8
229,MIR3135B,5
230,H2BC15,40
231,TRAV21,8
233,MIR3119-1,14
234,H3C13,51
237,H2AC19,50
247,TRAJ33,1
249,IGLV2-33,10
251,MIR6737,71
252,TRGJ1,73
253,IGHV4-4,21
254,TRBV19,76
255,CT47A4,13
256,OR6C71P,7
257,TRAJ58,1
258,IGKV6D-21,47
260,USP17L19,27
261,IGHV3OR16-12,21
262,OR5D2P,34
264,H2AB1,80
265,OR8C1P,45
266,TRBJ1-3,53
267,TRBJ1-4,53
269,MIR1302-9,68
272,MIR7974,71
273,IGLV3-12,10
275,MIR6873,5
276,MIR4435-2,57
277,TRAV14DV4,8
278,MIR4771-1,46
281,TRBV5-1,8
282,CT47A3,13
283,HNRNPCL4,64
285,RBMY1E,20
287,TRBV5-7,38
291,MIR3689E,24
292,MIR3158-1,39
293,TRBV6-8,38
294,IGKV1-12,3
298,TRAV8-4,8
300,RNA5-8SN1,60
301,TRBV7-9,8
302,IGKV2-40,47
303,USP17L13,27
305,TRBV9,8
306,IGHV3-35,21
310,DAZ4,15
311,TRBV7-1,70
312,P3R3URF,32
313,PRR20E,35
315,IGHV3-64,21
316,MIR4773-1,25
317,MIR3155B,33
319,TFAP2A-AS2,71
321,OR9I3P,34
327,IGHV5-10-1,52
328,MIR3689C,24
330,MIR6736,71
334,MIR6752,71
336,USP17L10,27
338,CT47A5,13
340,TRBV6-5,8
341,H2BC4,77
343,OR5B10P,34
345,ANKRD20A3P,84
347,MIR6794,62
348,USP17L15,27
350,IGKV3D-20,9
351,MIR3688-1,17
354,MIR5689,87
355,MIR6880,59
356,HSFX3,92
358,MIR5787,44
359,MIR10400,71
361,PLA2G2F,26
363,BAGE5,30
364,FOXL3,78
366,MIR1184-3,88
367,MIR7110,44
368,SPDYE14,7
372,MIR3622A,74
373,BAGE3,30
374,MIR6791,71
375,H2AC10P,75
376,IGKV1-16,9
377,MIR3913-1,54
378,IGLV3-21,3
383,IGHV3-53,9
384,OR5B19P,19
386,IGHV3-30-5,52
387,MIR6855,16
388,TRBV6-1,8
390,MIR5588,42
391,CT47A8,13
392,OR9I2P,34
394,TRBV20-1,76
395,TRBV7-2,8
399,TRAJ40,1
400,TRAJ25,1
401,IGHV1OR21-1,49
402,OR8V1P,34
404,OR7E106P,36
409,IGHV3OR16-9,21
410,TRBJ2-5,38
414,MIR1285-1,42
415,USP17L26,27
418,TEX51,32
419,MIR1233-1,63
421,ANKRD20A4P,84
422,MIR6760,29
426,MIR3689B,24
427,USP17L29,27
428,OR5AC1,31
431,IGKV3-11,3
432,MIR6784,56
433,USP17L27,27
435,TRNAE-CUC,43
436,MIR3914-1,48
438,MIR5088,71
439,TRBV4-3,38
440,TRBJ2-4,38
442,IGHV3-11,9
445,IGLV2-8,3
447,MIR3160-1,90
448,H3C14,51
452,IGHV3-7,3
454,TAF11L12,89
455,TRNAG-GCC,0
459,TRAV13-1,8
465,TRNAG-UCC,0
466,MIR3688-2,17
467,USP17L21,27
469,TRAJ22,1
470,IGHV3OR16-13,21
471,MIR6770-2,2
474,OR7E109P,36
475,IGLV8-61,10
477,TRAJ43,1
478,MIR4507,42
481,TRAJ21,1
482,MIR1233-2,63
483,H2AC3P,7
484,MIR3926-1,81
486,MIR7704,42
487,TRAJ32,1
490,TRBV4-1,8
493,OR9M1P,19
496,MIR4650-1,11
506,MIR3199-2,66
507,OR4A46P,19
511,MIR6721,5
513,IGLV3-16,10
516,OR51H1,4
517,USP17L25,27
519,IGHV3-30-3,52
520,OR8J2,31
521,MIR6770-1,2
522,MIR6786,71
523,IGKV1-13,47
524,IGKV2D-40,9
525,MIR8071-1,22
526,PRAMEF15,85
527,TRBJ1-2,53
528,OR51P1P,19
530,TRAJ36,1
532,TRAJ52,1
533,OR11G1P,36
534,IGKV2-28,3
535,MOGAT3,83
537,TRAJ5,1
538,PLSCR5,26
541,PRAMEF4,85
542,MIR6832,5
543,MIR7703,82
544,H1-7,32
545,TRBV2,8
546,MIR4650-2,11
547,MIR6743,71
551,DGAT2L6,83
553,IGLV10-54,10
555,MIR4776-1,6
556,IGKV1-17,3
559,IGHV4OR15-8,49
562,CT45A8,67
564,TRAJ42,1
566,H2AB2,80
569,MIR6514,2
570,MIR6852,42
571,BAGE4,30
572,MIR10392,62
575,IGKV3-15,3
578,TRAV26-1,8
590,IGLV4-69,10
591,MIR3130-1,69
594,TRAV25,61
595,TRAJ16,1
596,MIR3689D1,24
597,MIR3913-2,54
598,MIR151B,42
599,OR52X1P,19
603,MIR6769A,29
606,TRAV12-1,8
608,MIR6877,16
611,RBMY1D,20
612,TRAV12-3,8
613,USP17L30,27
614,TRBV5-3,70
616,MIR4315-1,37
618,MIR3689F,24
620,H2BC9,77
622,USP17L8,17
624,TRAV29DV5,8
626,FAM236B,28
628,OR7E111P,36
629,MIR6741,42
631,MIR4776-2,6
634,MYOPARR,62
635,MIR548S,46
636,TRAV27,61
639,OR5B15P,34
640,TRAV17,8
641,OR52E1,4
643,MIR1184-2,88
644,TRAJ57,1
646,TRGJ2,73
647,CT47A10,13
