,okved,cluster
648,MIR6838,71
650,USP17L18,27
652,TRNAN-GUU,43
654,MIR3199-1,66
655,TRAJ20,1
657,IGHV3OR15-7,21
658,TRBV3-1,8
659,MIR941-3,86
661,TRAJ38,1
662,IGKV1D-16,9
667,IGHV3OR16-8,21
669,IGKV6-21,47
670,MIR4315-2,37
671,OR4D7P,34
672,TRAJ9,1
675,IGKV2D-30,9
676,TRNAD-GUC,0
679,MIR3689D2,24
680,MIR7976,44
681,MIR3190,18
682,MIR3622B,74
684,OR7E23P,36
686,MIR7705,56
687,OR7E43P,36
688,TRBV6-3,38
690,MIR1302-11,68
691,TAF11L14,89
692,IGKV5-2,9
693,TRAJ27,1
696,IGHV4-59,3
698,RN7SKP60,7
700,IGHV4-38-2,52
703,TRAV8-2,8
704,TRAJ24,1
706,TRAJ7,1
707,MIR514A1,79
708,DAZ3,15
709,TRNAA-AGC,0
710,MIR7515,87
712,MIR550A2,58
713,TRAV8-6,8
714,MIR4448,42
717,HSFX4,92
718,IGKV2D-26,47
719,IGKV3D-7,47
720,TRAV4,8
723,MIR3130-2,69
725,OR7E31P,36
726,USP17L24,27
728,MIR6888,46
729,OR8Q1P,45
731,OR7E105P,19
733,FAM90A19,72
734,MIR3158-2,39
735,TRAJ54,1
737,IGHV4-28,21
