,okved,cluster
0,H4C10P,56
1,TRAJ8,1
2,TRAJ6,1
3,MIR8087,57
4,OR51A5P,54
5,ANKRD20A2P,28
6,MIR6724-3,97
7,MIR6801,35
8,MIR6807,69
9,MIR6799,35
10,MIR7973-2,102
11,HNRNPCL3,115
12,MIR6844,74
13,PRR20B,0
14,TRBV18,10
15,OR4B2P,61
16,LINC01595,83
17,MIR4773-2,158
18,OR8B1P,45
19,IGLV3-22,13
20,OR11H3P,12
21,MIR7161,128
22,MIR5681A,88
23,OR11J1P,12
24,MIR378J,117
25,TRAJ35,1
26,DUX4L2,125
27,CT47A2,32
28,MIR7706,71
29,MIR1321,42
30,MIR4525,21
31,TRAJ1,1
32,TRAJ26,1
33,OR10J9P,134
34,MIR12129,69
35,IGHV3-21,3
36,IGHV3-16,34
37,OR9G2P,38
38,MIR6739,11
39,MIR4659A,87
40,MIR3180-2,156
41,USP17L3,26
42,MIR378H,84
43,OR8B10P,45
44,TRAJ14,1
45,USP17L20,9
46,USP17L22,9
47,IGLV5-37,13
48,MIR4436B1,70
49,MIR8067,102
50,MIR6870,90
51,MIR6859-4,51
52,MIR3681,70
53,IGKV1-39,3
54,OR4H6P,12
55,OR4P1P,25
56,OR51A3P,72
57,MIR6719,35
58,OR5AN2P,22
59,MIR1302-2,130
60,OR9K1P,68
61,MIR6077,11
62,TRAJ29,1
63,OR4A1P,142
64,MIR3689A,46
65,H2BC16P,83
66,MIR6848,119
67,MBD3L4,59
68,TTTY17C,55
69,MIR6128,57
70,CT47A6,32
71,TRAJ45,1
72,TRAJ48,1
73,OR4A42P,33
74,PRR20D,0
75,TRAV9-2,10
76,MIR6835,69
77,MIR513A1,42
78,CPHXL,7
79,OR10U1P,111
80,MIR4704,64
81,PLA2G2E,124
82,OR10AK1P,62
83,CT47A9,32
84,MIR6718,65
85,FAM74A7,78
86,TTTY17B,55
87,USP17L17,9
88,MIR6792,104
89,OR8B9P,45
90,LOC110467515,48
91,MIR5681B,88
92,ZNF664-RFLNA,81
93,IGHV3-38,34
94,H2AC18,99
95,MIR6846,74
96,DAZ1,127
97,MIR4999,69
98,OR5M5P,38
99,RNA5-8SN3,120
100,OR8X1P,45
101,MIR3914-2,148
102,MIR6508,50
103,MIR6865,21
104,OR4A3P,61
105,MIR7850,147
106,OR7A15P,44
107,TRNAV-CAC,121
108,OR11H5P,123
109,OR5AC4P,5
110,MIR6783,21
111,MIR6724-2,97
112,MIR3160-2,96
113,IGKV2-30,3
114,H3C9P,129
115,OR5F2P,25
116,OR5D17P,38
117,TRAJ13,1
118,MIR7107,140
119,OR5BR1P,22
120,TRAJ37,1
121,MIR8059,21
122,PRR20C,0
123,MIR6511A1,139
124,MIR3191,122
125,USP17L28,9
126,MBD3L5,59
127,OR4A18P,5
128,MIR3926-2,40
129,MIR3155A,160
130,FAM246B,152
131,OR4A17P,38
132,MIR6770-3,53
133,DUX4L3,125
134,CT47A1,32
135,OR4A19P,43
136,OR10AF1P,22
137,LOC107980440,48
138,MIR5000,37
139,OR4Q1P,12
140,LOC102723655,153
141,TRBV29-1,10
142,OR7D1P,44
143,OR5P1P,54
