,okved,cluster
294,LINC01590,220
295,OR5AK3P,181
296,MIR6088,17
297,MIR1825,123
298,MIR4435-1,131
299,TRBV6-4,26
300,OR8A2P,150
301,OR10AA1P,132
302,OR51A8P,172
303,OR6C66P,46
304,MIR6511A2,251
305,MIR320E,180
306,DAZ2,312
307,MIR4433B,32
308,MIR6828,190
309,TAS2R31,276
310,MIR6511B1,33
311,MIR6074,52
312,MIR4467,149
313,MIR6839,73
314,SUGT1P4-STRA6LP-CCDC180,191
315,FAM90A9,96
316,PRAMEF19,12
317,ACSM2B,275
318,MIR6131,135
319,MIR548AG2,171
320,TRAJ4,1
321,GOLGA8O,18
322,OR10N1P,308
323,TRAJ53,1
324,OR4A2P,90
325,OR2T5,308
326,SRGAP2B,289
327,IGLV11-55,85
328,TRAV7,106
329,MIR4509-3,226
330,OR52Q1P,46
331,TMEM176B,239
332,GTF2IRD2,295
333,TRBV5-6,16
334,OR6C69P,66
335,MIR6863,33
336,MIR6071,91
337,SUGT1P4-STRA6LP,191
338,PLD2,42
339,IGHV3-74,22
340,H3-3B,162
341,NACA4P,41
342,TRNAI-AAU,5
343,MIR941-4,149
344,ZNF765,222
345,OR4C14P,84
346,PLA2G10,31
347,OR4A10P,30
348,CT45A9,281
349,MIR3180-1,62
350,TRAV3,16
351,MIR6834,53
352,SRGAP2C,289
353,IGLV1-47,22
354,MIR8071-2,61
355,DUX4L6,70
356,MIR4666B,95
357,OR4G11P,233
358,MIR6829,69
359,WASHC2A,35
360,IGKV2-29,24
361,IGLV2-11,22
362,MIR378I,32
363,MIR550B2,277
364,MIR941-2,149
365,RNF148,50
366,SPDYE6,244
367,TEX38,3
368,OR5B1P,92
369,OR5AO1P,68
370,MIR8076,190
371,IGLV5-45,85
372,MIR6501,211
373,MIR514A3,140
374,OR7E130P,48
375,MIR7977,32
376,PRR23D2,76
377,PLA2G12B,31
378,H2BC11,122
379,MIR4436B2,177
380,H4C13,9
381,BPY2B,246
382,OR5BP1P,101
383,MIR1245A,198
384,MIR6810,48
385,NPIPB2,240
386,MIR3119-2,147
387,MIR6833,53
388,H2AJ,151
389,FRA11B,264
390,MIR7844,52
391,OR5G3,181
392,FAM236A,211
393,OR2AS2P,98
394,TRAJ19,1
395,OR5W1P,84
396,IGHV3-13,24
397,MIR4433A,177
398,MIR924,285
399,MT-CO3,127
400,MIR8058,33
401,MIR4480,51
402,IGKV1-37,37
403,PCDHGA11,25
404,MIR3929,210
405,TRAJ30,1
406,MIR3202-1,4
407,CTAGE8,297
408,IGLV2-14,22
409,MIR5008,236
410,PLA2G1B,31
411,IGHV5-51,22
412,FAM90A18,96
413,OR5D15P,30
414,TRBJ2-2,113
415,IGLV7-43,24
416,OR1D3P,159
417,OR52E7P,46
418,MIR6825,69
419,TRBV6-2,16
420,MIR5189,47
421,MIR3135B,53
422,H2BC15,202
423,TRAV21,16
424,MIR6878,15
425,MIR3119-1,147
426,CCDC74A,142
427,H3C13,49
428,CCDC74B,142
429,MIR6129,57
430,MIR7849,40
431,H2AC19,67
432,MIR6502,188
433,MIR6859-3,205
434,OR4K16P,160
435,MIR5680,155
436,OR7E89P,100
437,LOC102723713,134
438,MIR5685,274
439,MIR1302-7,283
440,TRAJ46,20
441,MIR6504,118
442,OR7E86P,316
443,H4C6,9
444,TRBV4-2,26
445,TRAV41,175
446,PRAMEF27,60
447,GDF5-AS1,100
448,ATP8B4,86
449,MIR8060,72
450,MT-CO2,127
451,MIR7157,177
452,MIR7856,15
453,TRAJ33,1
454,MT-CO1,127
455,MIR548BA,177
456,PILRA,58
457,IGLV2-33,85
458,MIR6892,109
459,MIR6133,73
460,IGLC6,24
461,MIR6737,47
462,TRGJ1,126
463,IGHV4-4,116
464,NOL4L-DT,100
465,IGHV3-48,24
466,BAGE2,83
467,TRBV19,120
468,OR2AD1P,185
469,NPIPB4,195
470,CT47A4,78
471,OR6C71P,98
472,PCDHB14,121
473,TRAJ58,1
474,IGKV6D-21,37
475,OR52J1P,110
476,USP17L19,44
477,SULT1A4,313
478,IGHV3OR16-12,19
479,OR5D2P,101
480,MIR1185-1,203
481,TRAV31,20
482,H2AB1,303
483,OR8C1P,150
484,OR7A11P,102
485,MIR302C,170
486,TRBJ1-3,81
487,TRBJ1-4,81
488,MIR5692B,36
489,MIR3162,71
490,MIR1302-9,193
491,NPIPB3,195
492,MIR6853,10
493,MIR4712,71
494,OR4K3,229
495,FAM90A17,225
496,CDHR1,260
497,MIR7974,47
498,TRA,64
499,IGLV3-12,85
500,OR4A45P,90
501,MIR6873,53
502,MIR4435-2,131
503,IGHV7-4-1,106
504,TRAV38-1,175
505,TRAV14DV4,16
506,MIR4771-1,91
507,PCDHGA9,25
508,TRAV15,20
509,MIR6879,112
510,ACTE1P,100
511,TRBV5-1,103
512,TRB,64
513,IGLL5,63
514,ATP10B,86
515,MIR329-1,299
516,H1-12P,98
517,CT47A3,78
518,HNRNPCL4,161
519,OR4K6P,20
520,OR7E21P,185
521,USP17L4,268
522,RBMY1E,144
523,OR9R1P,2
524,TRBV5-7,113
525,TRAJ55,20
526,IGLV9-49,82
527,MIR8085,17
528,MIR6720,274
529,MIR6811,177
530,MIR3689E,153
531,ATP10D,86
532,PLCH2,119
533,CLEC20A,138
534,MIR3158-1,82
535,OR4A11P,30
536,PCDHGA3,25
537,TRBV6-8,113
538,IGKV1-12,22
539,OR1S1,27
540,MIR3156-2,266
541,OR4C9P,90
542,MIR4477B,10
543,OR4N1P,160
544,TRAV8-4,16
545,OR10J8P,305
546,RNA5-8SN1,137
547,PKD1P3-NPIPA1,47
548,PCDHA12,28
549,TRBV7-9,16
550,WASHC2C,35
551,TRAV1-1,175
552,IGKV2-40,37
553,TEX33,133
554,ATP8A2,86
555,MIR9500,206
556,USP17L13,44
557,MIR892A,178
558,BPIFA3,3
559,MIR548AM,95
560,TRBV9,16
561,GAGE13,11
562,H4C8,197
563,IGHV3-35,116
564,MIR5706,135
565,MIR3670-3,33
566,CYTH4,65
567,MIR4430,48
568,MIR8055,155
569,DAZ4,312
570,TRBV7-1,290
571,P3R3URF,133
572,PRR20E,213
573,MYO1G,65
574,MIR6864,57
575,IGHV3-64,116
576,PCDHA13,28
577,MIR4773-1,272
578,MIR3155B,314
579,MIR6808,196
580,IGHV1-38-4,218
581,H3C7,49
582,SLX1B-SULT1A4,313
583,TFAP2A-AS2,47
584,TRAJ31,1
585,MIR6859-2,196
586,OR4A41P,125
587,OR2T2,294
588,MIR7973-1,128
589,SERF1A,261
590,OR9I3P,101
591,MIR6780A,248
592,OR8K2P,84
593,MIR103A1,237
594,OR2T34,108
595,TRAV35,175
596,TRAJ50,20
597,MIR6767,33
598,OR51F5P,172
599,IGHV5-10-1,106
600,MIR3689C,153
601,OR6K5P,169
602,MIR6736,47
603,MIR6750,112
604,OR7E103P,173
605,OR5BB1P,92
606,MIR1289-1,307
607,PGA4,8
608,MIR6752,47
609,MIR6820,176
610,TRBV7-8,16
611,MIR512-2,287
612,MIR548AK,6
613,USP17L10,44
614,MIR888,21
615,PKD1P4-NPIPA8,33
616,RNA5-8SN5,137
617,CT47A5,78
618,STAG3L2,162
619,MIR1255A,40
620,CT47A7,78
621,OR4G4P,233
622,GOLGA8R,18
623,TRBV6-5,16
624,H3Y1,65
625,H2BC4,122
626,H3C1,49
627,OR5BD1P,92
628,TAS2R46,271
629,OR5B10P,101
630,OR5BQ1P,92
631,OR5W2,29
632,PCDHGB4,25
633,ANKRD20A3P,270
634,MIR3910-2,315
635,MIR4527,292
636,MIR6794,17
637,RBMY1J,144
638,OR1AA1P,4
639,MIR4512,128
640,PRR20A,213
641,RABL2A,252
642,LCE2D,227
643,MEIS3P1,72
644,USP17L15,44
645,OR5M2P,30
646,IGKV3D-20,24
647,MIR3688-1,45
648,OR5J7P,263
649,MIR3674,283
650,PCDHA8,28
651,MIR1245B,198
652,GOLGA6D,280
653,OR52E3P,172
654,MIR5689,206
655,MIR6880,257
656,HSFX3,235
657,IGHV3-43D,231
658,HLA-B,204
659,MIR6859-1,205
660,RBMY1B,144
661,TRBJ1-5,81
662,MIR892B,140
663,ZNF829,182
664,MIR5787,69
665,MIR4509-2,226
666,MIR6734,87
667,OR4X1,27
668,MIR10400,47
669,OR4C50P,125
670,PLA2G2F,31
671,MIR6868,238
672,BAGE5,83
673,FOXL3,310
674,PCDHACT,228
675,MIR1184-3,269
676,MIR7110,69
677,IGHV2OR16-5,19
678,ELOA3BP,98
679,SPDYE14,98
680,MIR8073,164
681,MT-ND4,127
682,OR6C64P,2
