,okved,cluster
1,TRAJ8,16
2,MIR6812,46
3,TP53TG3F,135
4,MIR4502,3
5,TRAJ6,16
6,OR7E53P,86
7,PLSCR2,41
10,UGT1A4,182
11,ANKRD20A2P,215
12,SERF1B,40
13,OR7E136P,210
16,MIR6807,35
18,TRAV19,17
20,HNRNPCL3,104
22,MIR6775,114
23,PRR20B,1
24,TRBV18,17
27,OR1S2,10
28,MIR4773-2,62
29,OR8B1P,63
30,IGLV3-22,39
35,MIR514B,33
36,MIR378J,108
37,PCDHB12,54
38,TRAJ35,16
39,DUX4L2,47
40,IGKV1D-33,27
41,CT47A2,12
42,MIR7706,35
45,AGAP5,207
46,MIR6796,35
47,MIR548AE1,106
48,TRAJ1,16
49,DUX5,128
50,FAM90A8,38
51,TRAJ26,16
52,IGKV1-9,7
54,MIR12129,35
55,IGHV3-21,7
56,IGHV3-16,24
57,OR9G2P,2
59,MIR4659A,102
60,MIR3180-2,103
61,H3C11,75
62,USP17L3,168
64,OR8B10P,63
65,OR5AW1P,198
66,TRAJ14,16
67,CT47A11,12
68,USP17L20,74
69,USP17L22,74
70,IGLV5-37,39
74,MIR6859-4,153
75,SPEM2,92
76,PCDHB9,164
78,TRGV10,15
79,PCDHGA4,0
80,IGKV1-39,7
83,FAM106C,94
84,IGHV4-34,7
88,MT-ND1,137
89,MIR1302-2,158
91,OR5AP2,84
93,TRAJ29,16
94,MIR4481,106
95,OR5A1,84
96,CTAGE15,175
97,MIR4745,97
98,TPSAB1,150
99,H2BP2,93
101,RPL19,159
102,MIR3689A,26
104,MIR6848,138
105,MBD3L4,122
106,MIR1972-1,186
107,TTTY17C,237
108,H4C2,206
110,CT47A6,12
111,TRAJ45,16
112,TRAJ48,16
114,PRR20D,1
115,TRAV9-2,17
116,MIR6835,35
118,PRAMEF17,71
119,CPHXL,144
120,OR10U1P,151
121,TRAV1-2,49
123,PLA2G2E,110
124,OR4K4P,111
125,NCR3,168
127,XAGE1A,13
128,SSX4B,43
129,CT47A9,12
130,RPL8,159
131,TRAV12-2,17
132,MIR4653,48
134,DEFB130A,257
135,ACSM2A,256
136,OR56A5,70
138,RNA5-8SN2,258
139,TRAV2,17
140,GOLGA6C,119
141,MIR329-2,177
142,TTTY17B,237
143,USP17L17,74
145,OR8B9P,63
147,PCDHB7,54
149,ZNF664-RFLNA,240
150,IGLV2-23,7
151,IGHV3-38,24
152,H2AC18,131
153,SETDB2-PHF11,25
155,XAGE1B,13
156,DAZ1,173
157,MIR4999,35
158,OR5M5P,2
159,BOD1L2,154
160,RNA5-8SN3,258
161,OR8X1P,63
162,TRAJ3,16
163,GNG14,35
164,MT-ATP6,137
165,CGB2,100
166,IGHV2-26,24
167,CSAG3,9
168,MIR3914-2,132
169,MIR7150,80
170,MIR6778,108
171,ATP11B,41
175,IGHV3-43,24
176,MIR7850,3
178,TRNAV-CAC,67
179,OR2T27,69
180,OR11H5P,111
181,MIR4504,183
182,SNORD50A,163
183,OR5AC4P,44
185,MIR10398,143
186,AGAP4,207
187,PRAMEF33,51
189,MIR3160-2,211
190,IGKV2-30,7
191,H3C9P,82
192,OR7E158P,53
194,MIR6771,3
195,MIR3147,247
196,OR5D17P,2
197,TRAJ13,16
198,MIR7107,166
199,MIR3122,30
200,PLCD3,130
201,OR4G1P,101
202,MIR3202-2,6
204,TRAJ37,16
206,PRR20C,1
207,PRAMEF13,36
208,MIR6511A1,59
209,MIR3191,141
210,PRR23D1,196
211,USP17L28,74
212,MIR4732,48
213,MBD3L5,122
214,OR4A18P,44
215,MIR3926-2,56
216,MIR3155A,197
217,H3C10,75
218,OR4G3P,101
219,SPRR2A,83
220,MIR548AB,209
222,CDK11B,243
223,OR4A17P,2
224,OR7E93P,250
225,TRAV5,49
226,MIR6500,129
227,H2BC5,81
229,MIR6798,190
230,DUX4L3,47
231,CT47A1,12
232,OR4A19P,53
235,H4C3,60
236,MIR6503,133
237,MIR6744,133
238,TRGV4,234
239,MIR5000,106
241,CSAG2,9
242,LOC102723655,165
243,TRBV29-1,17
244,USP17L12,74
246,MIR6773,223
247,MIR4743,48
249,MIR6165,3
250,TRAJ34,16
251,H2BC13,81
252,MIR5704,55
253,PCDHGA6,0
254,MIR6509,35
255,TP53TG3E,135
256,TRAJ39,16
257,MIR6881,3
259,H2BC10,96
261,OR5BL1P,14
262,OR52P2P,225
264,TAS2R19,192
265,MIR6505,133
266,DUX4L5,47
267,MIR3181,35
268,MIR4659B,102
269,IGKV1D-12,27
270,MIR6871,227
271,LRRC25,200
272,OR5J1P,2
274,IGHV1OR15-9,24
275,ATP8B1,41
276,MIR4292,97
277,OR2T29,89
279,IGHV3-72,24
280,ZNF660-ZNF197,240
281,PCDHGB3,0
282,MIR6506,58
283,OR2AM1P,44
285,H3C6,123
286,PLA2G4B,110
287,OR2G1P,56
288,TRAV10,19
290,MIR5586,183
291,OR4A8,28
292,PLA2G2D,110
293,TRAV23DV6,19
294,LINC01590,240
295,OR5AK3P,57
296,MIR6088,190
297,MIR1825,46
298,MIR4435-1,214
299,TRBV6-4,121
300,OR8A2P,63
301,OR10AA1P,225
303,OR6C66P,44
304,MIR6511A2,59
305,MIR320E,30
306,DAZ2,173
307,MIR4433B,99
309,TAS2R31,192
312,MIR4467,48
314,SUGT1P4-STRA6LP-CCDC180,193
315,FAM90A9,38
316,PRAMEF19,36
317,ACSM2B,256
320,TRAJ4,16
321,GOLGA8O,242
323,TRAJ53,16
325,OR2T5,89
326,SRGAP2B,88
327,IGLV11-55,39
328,TRAV7,34
329,MIR4509-3,32
330,OR52Q1P,44
331,TMEM176B,224
332,GTF2IRD2,217
333,TRBV5-6,17
336,MIR6071,106
337,SUGT1P4-STRA6LP,193
338,PLD2,204
339,IGHV3-74,7
340,H3-3B,244
341,NACA4P,219
342,TRNAI-AAU,67
343,MIR941-4,8
344,ZNF765,22
346,PLA2G10,110
347,OR4A10P,2
348,CT45A9,152
349,MIR3180-1,103
350,TRAV3,17
351,MIR6834,37
352,SRGAP2C,88
353,IGLV1-47,7
354,MIR8071-2,171
355,DUX4L6,47
357,OR4G11P,169
358,MIR6829,55
359,WASHC2A,145
360,IGKV2-29,27
361,IGLV2-11,7
362,MIR378I,99
363,MIR550B2,124
364,MIR941-2,8
365,RNF148,232
366,SPDYE6,72
367,TEX38,154
369,OR5AO1P,82
371,IGLV5-45,39
373,MIR514A3,33
374,OR7E130P,199
375,MIR7977,99
376,PRR23D2,196
377,PLA2G12B,110
378,H2BC11,96
380,H4C13,60
381,BPY2B,201
382,OR5BP1P,14
383,MIR1245A,65
384,MIR6810,157
385,NPIPB2,116
386,MIR3119-2,252
387,MIR6833,37
388,H2AJ,249
391,OR5G3,57
392,FAM236A,246
393,OR2AS2P,86
394,TRAJ19,16
396,IGHV3-13,27
398,MIR924,64
399,MT-CO3,137
401,MIR4480,45
402,IGKV1-37,79
403,PCDHGA11,0
405,TRAJ30,16
406,MIR3202-1,6
407,CTAGE8,179
408,IGLV2-14,7
410,PLA2G1B,41
411,IGHV5-51,7
412,FAM90A18,38
413,OR5D15P,2
414,TRBJ2-2,52
415,IGLV7-43,27
416,OR1D3P,20
417,OR52E7P,44
418,MIR6825,55
419,TRBV6-2,17
420,MIR5189,35
421,MIR3135B,37
422,H2BC15,81
423,TRAV21,17
425,MIR3119-1,252
426,CCDC74A,203
427,H3C13,75
428,CCDC74B,203
431,H2AC19,131
432,MIR6502,105
433,MIR6859-3,153
434,OR4K16P,111
436,OR7E89P,91
437,LOC102723713,165
439,MIR1302-7,87
441,MIR6504,58
443,H4C6,60
444,TRBV4-2,19
445,TRAV41,19
446,PRAMEF27,51
447,GDF5-AS1,91
448,ATP8B4,41
449,MIR8060,160
450,MT-CO2,137
453,TRAJ33,16
454,MT-CO1,137
456,PILRA,76
457,IGLV2-33,39
458,MIR6892,3
460,IGLC6,27
461,MIR6737,35
462,TRGJ1,245
463,IGHV4-4,24
464,NOL4L-DT,91
465,IGHV3-48,27
466,BAGE2,213
467,TRBV19,15
468,OR2AD1P,53
469,NPIPB4,155
470,CT47A4,12
471,OR6C71P,86
472,PCDHB14,54
473,TRAJ58,16
474,IGKV6D-21,79
476,USP17L19,74
477,SULT1A4,170
478,IGHV3OR16-12,24
479,OR5D2P,14
480,MIR1185-1,187
482,H2AB1,251
483,OR8C1P,63
484,OR7A11P,6
485,MIR302C,50
486,TRBJ1-3,31
487,TRBJ1-4,31
489,MIR3162,48
490,MIR1302-9,158
491,NPIPB3,155
493,MIR4712,97
494,OR4K3,28
496,CDHR1,220
497,MIR7974,35
498,TRA,193
499,IGLV3-12,39
501,MIR6873,37
502,MIR4435-2,214
503,IGHV7-4-1,34
504,TRAV38-1,121
505,TRAV14DV4,17
506,MIR4771-1,106
507,PCDHGA9,0
510,ACTE1P,91
511,TRBV5-1,17
512,TRB,193
513,IGLL5,146
514,ATP10B,41
515,MIR329-1,177
516,H1-12P,212
517,CT47A3,12
518,HNRNPCL4,104
520,OR7E21P,53
521,USP17L4,73
522,RBMY1E,176
523,OR9R1P,151
524,TRBV5-7,52
526,IGLV9-49,95
527,MIR8085,190
530,MIR3689E,26
531,ATP10D,41
532,PLCH2,130
533,CLEC20A,42
534,MIR3158-1,93
535,OR4A11P,2
536,PCDHGA3,0
537,TRBV6-8,52
538,IGKV1-12,7
539,OR1S1,10
540,MIR3156-2,181
543,OR4N1P,111
544,TRAV8-4,17
546,RNA5-8SN1,258
547,PKD1P3-NPIPA1,35
548,PCDHA12,38
549,TRBV7-9,17
550,WASHC2C,145
551,TRAV1-1,121
552,IGKV2-40,79
553,TEX33,92
554,ATP8A2,41
555,MIR9500,188
556,USP17L13,74
557,MIR892A,259
558,BPIFA3,154
560,TRBV9,17
561,GAGE13,228
562,H4C8,140
563,IGHV3-35,24
566,CYTH4,113
567,MIR4430,157
569,DAZ4,173
570,TRBV7-1,52
571,P3R3URF,92
572,PRR20E,1
573,MYO1G,113
575,IGHV3-64,24
576,PCDHA13,38
577,MIR4773-1,62
578,MIR3155B,197
579,MIR6808,223
581,H3C7,123
582,SLX1B-SULT1A4,170
583,TFAP2A-AS2,35
584,TRAJ31,16
585,MIR6859-2,223
587,OR2T2,125
588,MIR7973-1,229
589,SERF1A,40
590,OR9I3P,14
591,MIR6780A,108
593,MIR103A1,236
594,OR2T34,69
595,TRAV35,121
599,IGHV5-10-1,34
600,MIR3689C,26
602,MIR6736,35
606,MIR1289-1,35
607,PGA4,222
608,MIR6752,35
610,TRBV7-8,17
611,MIR512-2,235
612,MIR548AK,106
613,USP17L10,74
614,MIR888,132
616,RNA5-8SN5,258
617,CT47A5,12
618,STAG3L2,68
620,CT47A7,12
621,OR4G4P,169
622,GOLGA8R,242
623,TRBV6-5,17
624,H3Y1,231
625,H2BC4,96
626,H3C1,75
628,TAS2R46,18
629,OR5B10P,14
631,OR5W2,84
632,PCDHGB4,0
633,ANKRD20A3P,215
634,MIR3910-2,253
636,MIR6794,190
637,RBMY1J,176
638,OR1AA1P,198
639,MIR4512,229
640,PRR20A,1
641,RABL2A,172
642,LCE2D,136
643,MEIS3P1,168
644,USP17L15,74
645,OR5M2P,2
646,IGKV3D-20,27
647,MIR3688-1,238
649,MIR3674,87
650,PCDHA8,38
651,MIR1245B,65
652,GOLGA6D,119
654,MIR5689,188
655,MIR6880,166
656,HSFX3,226
658,HLA-B,202
659,MIR6859-1,153
660,RBMY1B,176
661,TRBJ1-5,31
662,MIR892B,33
663,ZNF829,126
664,MIR5787,55
665,MIR4509-2,32
666,MIR6734,120
667,OR4X1,10
668,MIR10400,35
670,PLA2G2F,110
672,BAGE5,213
673,FOXL3,144
675,MIR1184-3,230
676,MIR7110,55
677,IGHV2OR16-5,24
678,ELOA3BP,86
679,SPDYE14,86
680,MIR8073,25
681,MT-ND4,137
682,OR6C64P,151
685,MIR3622A,77
686,SSX4,43
687,PLSCR3,41
688,BAGE3,213
689,MIR6791,35
690,IGHV3OR16-10,24
691,H2AC10P,82
692,MIR3192,48
693,H3-3A,244
694,GAGE12J,228
695,IGKV1-16,27
696,MIR3913-1,62
697,ZNF568,126
698,CCT3,61
699,ATP11C,41
700,UGT2B4,182
701,IGLV3-21,7
705,OR5T1,70
706,MIR6729,106
707,LOC408186,93
708,IGLV1-44,7
709,MIR4509-1,32
