okved,cluster
TRAV35,80
TRAJ50,79
MIR6767,58
OR51F5P,37
IGHV5-10-1,72
MIR3689C,41
MIR6736,7
MIR6750,4
OR7E103P,12
OR5BB1P,38
MIR1289-1,20
MIR6752,7
TRBV7-8,8
USP17L10,32
PKD1P4-NPIPA8,58
CT47A5,19
MIR1255A,78
CT47A7,19
GOLGA8R,71
TRBV6-5,8
H3Y1,85
H2BC4,62
H3C1,29
OR5BD1P,38
OR5B10P,63
OR5BQ1P,38
OR5W2,86
PCDHGB4,35
MIR6794,59
RBMY1J,82
OR1AA1P,31
PRR20A,10
USP17L15,32
OR5M2P,27
IGKV3D-20,18
PCDHA8,84
OR52E3P,37
RBMY1B,82
TRBJ1-5,81
MIR892B,16
MIR5787,61
MIR10400,7
OR4C50P,42
PLA2G2F,44
MIR7110,61
IGHV2OR16-5,26
ELOA3BP,2
SPDYE14,2
MT-ND4,39
OR6C64P,43
PLSCR3,3
MIR6791,7
IGHV3OR16-10,26
MIR3192,70
IGKV1-16,18
ATP11C,3
IGLV3-21,25
MIR3670-2,58
MIR6802,6
MIR5591,78
OR5T1,47
IGLV1-44,25
OR5AM1P,27
IGHV3-53,18
OR5B19P,53
IGHV1-58,49
IGHV3-30-5,72
IGKV2D-29,83
TRBV6-1,8
IGHV4-30-4,72
MIR3670-4,58
IGHV2-70,18
MIR5588,67
CT47A8,19
OR9I2P,63
MIR8086,64
OR7E46P,54
IGHV3-15,25
TRBV7-2,46
MIR6806,6
IGLV3-27,18
MIR6727,28
MIR4771-2,33
TRAJ40,0
TRAJ25,0
TRAJ11,0
IGHV1-45,49
OR8V1P,63
IGHV4-39,25
RTL8C,57
TRAJ2,0
OR7E106P,54
TEX54,86
MIR4447,68
MIR8082,78
OR4R2P,42
OR5M12P,27
PCDHGA5,35
IGHV3OR16-9,26
TRBJ2-5,77
TPRX1P1,2
MIR6075,30
MIR6740,28
TMEM225,86
MIR1285-1,67
USP17L26,32
OR4A9P,36
MIR941-1,70
TEX51,34
PLA2G3,44
IGHV1-46,18
MIR6082,78
MIR6760,1
MIR4428,28
OR7A3P,51
DUX4L4,17
TRBV10-3,8
OR5BC1P,63
MIR3689B,41
USP17L29,32
PRAMEF20,56
MIR4305,70
PLA2G2A,44
PCDHA1,84
TRBV11-1,66
MIR7108,6
OR9L1P,63
IGKV3-11,25
MIR6784,20
USP17L27,32
OR13F1,47
MIR5589,6
H2BC7,62
IGLV5-48,76
IGLV7-46,14
TRBV27,8
OR51F3P,5
IGLV3-19,25
MIR5088,7
TRBV4-3,77
PLD4,3
TRBJ2-4,77
