okved,cluster
HERC6,Singleton
GTF2A1,Singleton
IL12A,Singleton
ATG9A,Singleton
TAF4,Singleton
CDC40,Singleton
ARIH1,Singleton
PLXDC1,Singleton
CLEC16A,Singleton
DTX2,Singleton
EN1,Singleton
PTGES,Singleton
ARSB,Singleton
CLN8,Singleton
B3GALT1,Singleton
ECEL1,Singleton
YME1L1,Singleton
CEP68,Singleton
ULK2,Singleton
FMO2,Singleton
FOLH1,Singleton
TAX1BP1,Singleton
GOLGB1,Singleton
TAF6,Singleton
ABCA6,Singleton
CUL4B,Singleton
FAM13A,Singleton
IL22RA1,Singleton
CRBN,Singleton
GTF2E2,Singleton
CACNG4,Singleton
CDC16,Singleton
OLFML2B,Singleton
CMAS,Singleton
INVS,Singleton
MPP3,Singleton
DPM2,Singleton
CCKBR,Singleton
TMEM109,Singleton
DNAH3,Singleton
AGER,Singleton
CUL9,Singleton
HMBS,Singleton
LHX1,Singleton
GNAT1,Singleton
BMP3,Singleton
TIMM17B,Singleton
TIMM9,Singleton
ABHD5,Singleton
EIF3M,Singleton
AAGAB,Singleton
CEP72,Singleton
NEU2,Singleton
EYA2,Singleton
ZRSR2,Singleton
GFI1B,Singleton
DHRS7,Singleton
DTNB,Singleton
ALX3,Singleton
ZMYM2,Singleton
GABRR2,Singleton
CDV3,Singleton
HNRNPH3,Singleton
SIRT3,Singleton
ZNF148,Singleton
ZNF787,Singleton
ITGB1BP1,Singleton
ALDH3B1,Singleton
NCK2,Singleton
FPGS,Singleton
PNLIPRP2,Singleton
CIZ1,Singleton
DDX31,Singleton
CLEC1B,Singleton
ATF1,Singleton
BICD2,Singleton
ZXDB,Singleton
ABHD6,Singleton
GYG2,Singleton
AMT,Singleton
TCP11L1,Singleton
BLOC1S1,Singleton
CRKL,Singleton
BTN3A1,Singleton
B9D2,Singleton
CCNA1,Singleton
MCOLN1,Singleton
ZNF839,Singleton
CTSE,Singleton
ACSF2,Singleton
BAHD1,Singleton
PUM2,Singleton
INPP1,Singleton
GPR161,Singleton
CENPM,Singleton
CGREF1,Singleton
HSPA13,Singleton
TEAD3,Singleton
DDX28,Singleton
MT1G,Singleton
IGFALS,Singleton
SLC26A1,Singleton
ATG12,Singleton
ZNHIT1,Singleton
AMH,Singleton
METRN,Singleton
IARS2,Singleton
RAB3GAP2,Singleton
KAT7,Singleton
ARHGAP22,Singleton
IL27RA,Singleton
PPIL2,Singleton
OPLAH,Singleton
TAPBPL,Singleton
CCDC33,Singleton
NRSN2,Singleton
CES3,Singleton
B4GALT7,Singleton
DYNC2LI1,Singleton
ARHGEF6,Singleton
ERGIC3,Singleton
CAPN3,Singleton
SIKE1,Singleton
RBM15B,Singleton
DBH,Singleton
BTG3,Singleton
DMWD,Singleton
DNAJC4,Singleton
CACNG5,Singleton
DECR2,Singleton
RRP8,Singleton
KAZALD1,Singleton
COL19A1,Singleton
DNAI2,Singleton
GOLGA2,Singleton
IL21R,Singleton
ADAMTS8,Singleton
MOG,Singleton
GUF1,Singleton
LAGE3,Singleton
TRAPPC6A,Singleton
FOXF1,Singleton
ENDOU,Singleton
CD320,Singleton
SLC30A10,Singleton
CHMP6,Singleton
ABCA4,Singleton
COL4A6,Singleton
PWP1,Singleton
GABPB1,Singleton
ARSD,Singleton
PRX,Singleton
NCR3,Singleton
GREM2,Singleton
ANO10,Singleton
KAT8,Singleton
ZXDC,Singleton
SPINK2,Singleton
BBIP1,Singleton
TJAP1,Singleton
UBE3B,Singleton
ADRB3,Singleton
COL10A1,Singleton
PAFAH1B3,Singleton
ACTR5,Singleton
DHRS12,Singleton
COL8A2,Singleton
CD58,Singleton
PIGB,Singleton
TADA3,Singleton
IMPG1,Singleton
SPPL2B,Singleton
ALOX12,Singleton
NPAS1,Singleton
CYP2R1,Singleton
PIP,Singleton
DNASE1L1,Singleton
ZSCAN16,Singleton
NRTN,Singleton
LAMB4,Singleton
GOLGA1,Singleton
GALNT3,Singleton
CSGALNACT2,Singleton
ATG3,Singleton
CTF1,Singleton
PRAF2,Singleton
GPX7,Singleton
SSTR3,Singleton
DEPDC5,Singleton
DCAF8,Singleton
GPATCH3,Singleton
ETV2,Singleton
CAPN9,Singleton
NR2E3,Singleton
GLP2R,Singleton
KIAA0319L,Singleton
CA14,Singleton
ZSCAN18,Singleton
ZNF93,Singleton
NOX1,Singleton
TBXA2R,Singleton
KLHL26,Singleton
FBXO24,Singleton
JMJD7,Singleton
CTRL,Singleton
CLDN15,Singleton
ZNF10,Singleton
S100A7,Singleton
CILP,Singleton
ZNF84,Singleton
PTGDR,Singleton
NPHS1,Singleton
ASMTL,Singleton
CXCR5,Singleton
ELF5,Singleton
NPBWR2,Singleton
DNMT3L,Singleton
CCKAR,Singleton
RFPL2,Singleton
ZNRF4,Singleton
ZP2,Singleton
PAX4,Singleton
CTRB2,Singleton
CYP2W1,Singleton
ACTL7A,Singleton
BMP10,Singleton
KRT31,Singleton
ZPBP,Singleton
CYP3A43,Singleton
OR10J1,Singleton
SCGB2A2,Singleton
CRYGC,Singleton
GP2,Singleton
CYP2A7,Singleton
CMA1,Singleton
G6PC2,Singleton
SULT1E1,Singleton
PRY,Singleton
GYPA,Singleton
IFNA14,Singleton
PRB1,Singleton
BMP15,Singleton
CRISP1,Singleton
SCGB1D2,Singleton
CRYGB,Singleton
IFNW1,Singleton
PRAMEF11,Singleton
HERPUD1,Singleton
FADS1,Singleton
NREP,Singleton
EIF5,Singleton
ALCAM,Singleton
DAPK1,Singleton
TRIB3,Singleton
PERP,Singleton
BNIP3L,Singleton
MARCKS,Singleton
DAB2IP,Singleton
EIF4EBP1,Singleton
TIPARP,Singleton
NF1,Singleton
SORL1,Singleton
TNFRSF12A,Singleton
UGDH,Singleton
PTK2,Singleton
DUSP2,Singleton
SLC16A1,Singleton
CHAC1,Singleton
CPT1A,Singleton
CAT,Singleton
TRIO,Singleton
CTH,Singleton
MAP2K5,Singleton
BCKDHB,Singleton
RETSAT,Singleton
CCNG2,Singleton
TST,Singleton
DNAJB1,Singleton
HRAS,Singleton
F2R,Singleton
SLC27A2,Singleton
ADI1,Singleton
IL1R1,Singleton
SELENBP1,Singleton
IVNS1ABP,Singleton
LAPTM4B,Singleton
CDC25B,Singleton
MAPK8,Singleton
LRP5,Singleton
TNKS1BP1,Singleton
ATRN,Singleton
MX1,Singleton
AKT3,Singleton
GLRX,Singleton
DDC,Singleton
ITGA5,Singleton
LRRK2,Singleton
MPRIP,Singleton
SRM,Singleton
PKD1,Singleton
TSPAN3,Singleton
GAMT,Singleton
PDCD4,Singleton
MAT2A,Singleton
TJP2,Singleton
CREM,Singleton
FBXO11,Singleton
SCP2,Singleton
BCAR1,Singleton
AMIGO2,Singleton
PXDC1,Singleton
KLHL24,Singleton
BID,Singleton
LPIN1,Singleton
IFIT2,Singleton
ANO6,Singleton
ADA,Singleton
PPP3CA,Singleton
PDE4B,Singleton
KCTD12,Singleton
ARC,Singleton
KCNN4,Singleton
RASGRP2,Singleton
GNA11,Singleton
CFTR,Singleton
CYFIP1,Singleton
GAN,Singleton
VAT1,Singleton
LCAT,Singleton
VDAC1,Singleton
NOMO1,Singleton
ATP13A3,Singleton
SNX9,Singleton
SLC38A1,Singleton
ACSL3,Singleton
LTBP4,Singleton
CYFIP2,Singleton
MXI1,Singleton
EIF4E,Singleton
LYPLA1,Singleton
PRKACB,Singleton
LYST,Singleton
MICAL2,Singleton
SYNPO,Singleton
BAIAP2,Singleton
ANXA4,Singleton
DVL1,Singleton
SYNE2,Singleton
OAS1,Singleton
IL7R,Singleton
CD83,Singleton
SLC1A4,Singleton
SMARCA2,Singleton
ENAH,Singleton
RASSF2,Singleton
AFF4,Singleton
CDC42SE1,Singleton
NEDD9,Singleton
SAMHD1,Singleton
GABBR2,Singleton
PTPRD,Singleton
ITPK1,Singleton
ARHGEF12,Singleton
TAOK1,Singleton
PTMS,Singleton
PTGER4,Singleton
MTUS1,Singleton
GLS,Singleton
PTPRS,Singleton
MYO5A,Singleton
LRPAP1,Singleton
SIPA1,Singleton
PLP1,Singleton
PXMP2,Singleton
PHLDB1,Singleton
PKD2,Singleton
ABCA7,Singleton
PHLDA2,Singleton
LSS,Singleton
ACACA,Singleton
DDAH1,Singleton
SLC1A3,Singleton
KDM3A,Singleton
VLDLR,Singleton
POMC,Singleton
DYSF,Singleton
SYTL2,Singleton
RIN2,Singleton
SLC12A2,Singleton
FGFR4,Singleton
XIAP,Singleton
FRMD6,Singleton
SASH1,Singleton
TBX1,Singleton
ROCK2,Singleton
MEST,Singleton
SELPLG,Singleton
AK4,Singleton
TRIB2,Singleton
CDK5R1,Singleton
NID2,Singleton
CIT,Singleton
LIFR,Singleton
APBB1IP,Singleton
BCOR,Singleton
SNX33,Singleton
CACNA1A,Singleton
CASP4,Singleton
ITGB8,Singleton
AHNAK2,Singleton
NOTCH3,Singleton
LYPLA2,Singleton
PYGL,Singleton
CDKN2B,Singleton
SPRY4,Singleton
TNK2,Singleton
AKNA,Singleton
HNMT,Singleton
RPS6KA2,Singleton
USP22,Singleton
ZCCHC24,Singleton
UPP1,Singleton
PREX1,Singleton
TTC3,Singleton
ASL,Singleton
CCL4,Singleton
FZD4,Singleton
CLDN1,Singleton
APOL6,Singleton
LXN,Singleton
NEFL,Singleton
CD38,Singleton
GAP43,Singleton
PTPRE,Singleton
TNFSF9,Singleton
TFEB,Singleton
ANGPTL4,Singleton
IRF6,Singleton
ARRDC3,Singleton
ADAM22,Singleton
RAB11FIP5,Singleton
MBD3,Singleton
STK4,Singleton
MALL,Singleton
COBL,Singleton
FRZB,Singleton
MYO6,Singleton
SKIL,Singleton
CX3CL1,Singleton
BHLHE41,Singleton
IRF8,Singleton
BARD1,Singleton
GNAI1,Singleton
NODAL,Singleton
PSD3,Singleton
LMO7,Singleton
RCAN1,Singleton
MXD1,Singleton
PFN2,Singleton
KIF5B,Singleton
COL8A1,Singleton
SPOCK1,Singleton
DNM1L,Singleton
AQP4,Singleton
AMOTL2,Singleton
CD82,Singleton
KALRN,Singleton
STUB1,Singleton
FBXW7,Singleton
ERCC2,Singleton
CNTNAP2,Singleton
TSPAN9,Singleton
ANGPT2,Singleton
NF2,Singleton
GSTA4,Singleton
IL33,Singleton
MT1X,Singleton
NBL1,Singleton
NTRK3,Singleton
CYB5A,Singleton
NR1D2,Singleton
PER2,Singleton
ADCY6,Singleton
TLR1,Singleton
NFIC,Singleton
GSTM3,Singleton
REST,Singleton
NDEL1,Singleton
LMTK2,Singleton
IRAK3,Singleton
PPL,Singleton
KCNJ2,Singleton
SSBP2,Singleton
CAMK2D,Singleton
LGR4,Singleton
PTHLH,Singleton
ISYNA1,Singleton
TNRC18,Singleton
CLIC1,Singleton
PTPN13,Singleton
FCGR2B,Singleton
HSD17B2,Singleton
SCG5,Singleton
FLOT1,Singleton
RIMS2,Singleton
GIPC1,Singleton
LAMA5,Singleton
GJB3,Singleton
UTRN,Singleton
PLXNB1,Singleton
CD69,Singleton
SMO,Singleton
MAGED2,Singleton
ROCK1,Singleton
IMPDH1,Singleton
SMAD6,Singleton
SHB,Singleton
CYP3A4,Singleton
HIVEP2,Singleton
GABRB3,Singleton
SPR,Singleton
PRDM16,Singleton
RPS6KA5,Singleton
SEMA7A,Singleton
CASP7,Singleton
CLTB,Singleton
TMEM176A,Singleton
PTPRO,Singleton
ST3GAL1,Singleton
SORBS2,Singleton
ECM1,Singleton
SLC1A1,Singleton
CRIP2,Singleton
CYP26B1,Singleton
MAPK9,Singleton
KDM6A,Singleton
CTLA4,Singleton
CCDC80,Singleton
SYNE1,Singleton
KANK2,Singleton
NPY1R,Singleton
PRRX1,Singleton
ALPL,Singleton
CDC42EP4,Singleton
PROX1,Singleton
STAR,Singleton
NR1D1,Singleton
STRN,Singleton
DGAT1,Singleton
PISD,Singleton
INHBB,Singleton
LATS1,Singleton
CSNK1E,Singleton
FZD1,Singleton
QPCT,Singleton
COBLL1,Singleton
IL2RA,Singleton
ABCD3,Singleton
GJB2,Singleton
JPH2,Singleton
IRF4,Singleton
FLRT3,Singleton
CNN2,Singleton
IGSF3,Singleton
ATF2,Singleton
SPRY1,Singleton
NT5DC2,Singleton
FEZ1,Singleton
CHPF,Singleton
MATN2,Singleton
CYP17A1,Singleton
ARID3B,Singleton
ASH1L,Singleton
FGF13,Singleton
C1RL,Singleton
VGF,Singleton
CNR1,Singleton
WDR26,Singleton
FKBP9,Singleton
ATP6V0E2,Singleton
AFAP1,Singleton
PLXNC1,Singleton
SSH2,Singleton
CBR3,Singleton
ITGBL1,Singleton
TPD52L1,Singleton
LIG4,Singleton
CDC42BPA,Singleton
RELT,Singleton
KAT6A,Singleton
SMTN,Singleton
CALB1,Singleton
SYNM,Singleton
WFS1,Singleton
TBX2,Singleton
ERCC1,Singleton
CHN2,Singleton
GAD1,Singleton
STK38,Singleton
DPP6,Singleton
GRIN2B,Singleton
ITGA8,Singleton
ZIC1,Singleton
SIK2,Singleton
PRKG1,Singleton
ADAM19,Singleton
ELAVL2,Singleton
CIITA,Singleton
PPP2R5B,Singleton
ARHGAP29,Singleton
INA,Singleton
CCNL1,Singleton
PGR,Singleton
PARD3,Singleton
SAMD4A,Singleton
TMEM47,Singleton
CDK5,Singleton
MECOM,Singleton
DMPK,Singleton
PCSK9,Singleton
KCNJ10,Singleton
GSTM2,Singleton
LRP4,Singleton
HMGCS2,Singleton
ABO,Singleton
ATF6,Singleton
LBH,Singleton
DLL1,Singleton
GTF2IRD1,Singleton
EVC,Singleton
CLSTN1,Singleton
GPT2,Singleton
TMEM45A,Singleton
ADO,Singleton
HIPK3,Singleton
NRN1,Singleton
AKAP6,Singleton
MYH14,Singleton
ADAM23,Singleton
SCG2,Singleton
BTC,Singleton
SPINK1,Singleton
SERPINI1,Singleton
AGFG2,Singleton
TTR,Singleton
SGCB,Singleton
GPAM,Singleton
DNM3,Singleton
WASF3,Singleton
RAPGEF2,Singleton
SLC25A13,Singleton
LTBP3,Singleton
FGF18,Singleton
DNAJC12,Singleton
MAPK10,Singleton
BDH2,Singleton
CSPG4,Singleton
FOXN3,Singleton
WWOX,Singleton
CLDN4,Singleton
KBTBD11,Singleton
EFHD1,Singleton
SNRPN,Singleton
CLIP1,Singleton
PIK3C2B,Singleton
NCOA1,Singleton
PPP1R12B,Singleton
IL1R2,Singleton
LAD1,Singleton
CYP27B1,Singleton
ADCY5,Singleton
NETO2,Singleton
MT1E,Singleton
QPRT,Singleton
BCAT2,Singleton
XDH,Singleton
ACACB,Singleton
JAG2,Singleton
CRHR1,Singleton
CHGB,Singleton
EPHB1,Singleton
EPC1,Singleton
TACC1,Singleton
GNA12,Singleton
BACE2,Singleton
NRXN3,Singleton
PCDH9,Singleton
SLC3A1,Singleton
KCNK1,Singleton
RBPMS,Singleton
ARTN,Singleton
RAB5B,Singleton
CDH6,Singleton
EYA1,Singleton
MYH11,Singleton
FEZ2,Singleton
GNG4,Singleton
NKX3-1,Singleton
MYBPC3,Singleton
VIP,Singleton
ARHGAP32,Singleton
RAMP1,Singleton
MAPK11,Singleton
FGF10,Singleton
MYLIP,Singleton
CALY,Singleton
AGTR1,Singleton
CCPG1,Singleton
FSTL3,Singleton
RNF128,Singleton
EPN2,Singleton
HLA-DPB1,Singleton
PCTP,Singleton
MT3,Singleton
SCD5,Singleton
DENND3,Singleton
PYGB,Singleton
CSF3,Singleton
C7,Singleton
HEY2,Singleton
NMNAT2,Singleton
APLNR,Singleton
ANO1,Singleton
RBM47,Singleton
PCBD1,Singleton
SNTB1,Singleton
HS3ST1,Singleton
ADCY3,Singleton
TESC,Singleton
DCC,Singleton
HLA-G,Singleton
TLR6,Singleton
CHRNA3,Singleton
HIP1R,Singleton
CCDC92,Singleton
ACAA1,Singleton
PIR,Singleton
EPS8L1,Singleton
PPP3CB,Singleton
CEP170B,Singleton
TFR2,Singleton
GPLD1,Singleton
MAP2K4,Singleton
EPHA7,Singleton
NEFH,Singleton
GRIK1,Singleton
TTPA,Singleton
CYP2J2,Singleton
TMSB15A,Singleton
SLC14A2,Singleton
TLR7,Singleton
GSTA1,Singleton
STAT4,Singleton
TNFRSF4,Singleton
CTNNA2,Singleton
NEFM,Singleton
MYL4,Singleton
GCAT,Singleton
HAMP,Singleton
ST8SIA2,Singleton
GDPD5,Singleton
ELAVL4,Singleton
NCK1,Singleton
DAAM2,Singleton
ASTN1,Singleton
CA1,Singleton
CLCN4,Singleton
CNN1,Singleton
PHF12,Singleton
EHF,Singleton
LIMS2,Singleton
CACNA1H,Singleton
AKTIP,Singleton
LHX2,Singleton
FAIM,Singleton
BMP5,Singleton
TAGLN3,Singleton
PGM5,Singleton
ACE2,Singleton
TNRC6C,Singleton
DDX60L,Singleton
RGL2,Singleton
ZIC2,Singleton
ESRP1,Singleton
PRAME,Singleton
POU2AF1,Singleton
AMPH,Singleton
KRT16,Singleton
ACAN,Singleton
POU3F3,Singleton
GRM8,Singleton
TOX3,Singleton
SEC61A2,Singleton
CLCA2,Singleton
COL17A1,Singleton
RAB25,Singleton
FSD1,Singleton
EVPL,Singleton
SPINK5,Singleton
GJB5,Singleton
LY6D,Singleton
ESRP2,Singleton
CALML5,Singleton
CDH18,Singleton
DSG1,Singleton
INSM1,Singleton
CALML3,Singleton
LEFTY1,Singleton
TGM3,Singleton
HSPA8,Singleton
NPM1,Singleton
HSPA5,Singleton
GAPDH,Singleton
FTH1,Singleton
ACTB,Singleton
VIM,Singleton
YWHAZ,Singleton
UBC,Singleton
LDHA,Singleton
DSP,Singleton
HSP90AA1,Singleton
RAN,Singleton
RPS6,Singleton
ACTG1,Singleton
TFRC,Singleton
PPIA,Singleton
HSP90B1,Singleton
HSP90AB1,Singleton
PTMA,Singleton
PGAM1,Singleton
STMN1,Singleton
RPS19,Singleton
HSPB1,Singleton
YWHAB,Singleton
BSG,Singleton
ALDOA,Singleton
HSPD1,Singleton
B2M,Singleton
RPS11,Singleton
RPL6,Singleton
AHNAK,Singleton
RPS8,Singleton
RPS3A,Singleton
RPSA,Singleton
FASN,Singleton
RPL10,Singleton
ATF4,Singleton
HMGB1,Singleton
RPS20,Singleton
SLC38A2,Singleton
RPL32,Singleton
RPS15,Singleton
RPS10,Singleton
EIF5A,Singleton
CD63,Singleton
CALM2,Singleton
PSAT1,Singleton
TSC22D1,Singleton
TUBB6,Singleton
RPL23,Singleton
RPL10A,Singleton
RPS17,Singleton
ANXA5,Singleton
RPL39,Singleton
SLC3A2,Singleton
TUBA1A,Singleton
AHCY,Singleton
TUBB2A,Singleton
ASNS,Singleton
TAGLN2,Singleton
CSRP1,Singleton
RPL18,Singleton
PLCG1,Singleton
C1QBP,Singleton
DDX17,Singleton
EZR,Singleton
HTT,Singleton
EIF4A1,Singleton
IQGAP1,Singleton
ENO1,Singleton
ODC1,Singleton
PGRMC1,Singleton
ATN1,Singleton
S100A4,Singleton
SPTBN1,Singleton
DDX3X,Singleton
DAG1,Singleton
FLNB,Singleton
DYNLL1,Singleton
DNMT1,Singleton
RPS27A,Singleton
HSPA1B,Singleton
CDK6,Singleton
GDI2,Singleton
GSTP1,Singleton
TUBB,Singleton
NUMA1,Singleton
GPX1,Singleton
CDK4,Singleton
CSTB,Singleton
RPS5,Singleton
IFITM3,Singleton
FKBP1A,Singleton
UBB,Singleton
BASP1,Singleton
RPL29,Singleton
SUB1,Singleton
TCP1,Singleton
DSTN,Singleton
RPL13A,Singleton
SKI,Singleton
RPL7,Singleton
RPL3,Singleton
RPL7A,Singleton
HNRNPA2B1,Singleton
NCL,Singleton
UBA52,Singleton
FSCN1,Singleton
TPI1,Singleton
RBBP7,Singleton
ITM2B,Singleton
MLEC,Singleton
RPS2,Singleton
CCNG1,Singleton
BZW1,Singleton
PTTG1IP,Singleton
SFPQ,Singleton
TXNRD1,Singleton
S100A10,Singleton
SDCBP,Singleton
MGST1,Singleton
SMARCA4,Singleton
WNK1,Singleton
XPO1,Singleton
CTNND1,Singleton
FUS,Singleton
NDUFA5,Singleton
LBR,Singleton
S100A11,Singleton
SLC7A1,Singleton
ACADM,Singleton
TUBA4A,Singleton
CST3,Singleton
VDAC2,Singleton
DHX9,Singleton
EEF1A2,Singleton
HNRNPA1,Singleton
CLTA,Singleton
RPL35A,Singleton
PPP1CC,Singleton
GPI,Singleton
RPL8,Singleton
RPS24,Singleton
RPS4X,Singleton
EIF4A2,Singleton
RPLP1,Singleton
S100A6,Singleton
RPL21,Singleton
SERBP1,Singleton
RHOC,Singleton
PABPC1,Singleton
MSH6,Singleton
RPL41,Singleton
DNAJA1,Singleton
RTN4,Singleton
RPS23,Singleton
MTHFD2,Singleton
RPL23A,Singleton
MRFAP1,Singleton
MACF1,Singleton
NDUFB8,Singleton
GTF2I,Singleton
UQCRC2,Singleton
AP2M1,Singleton
RPS14,Singleton
TMED9,Singleton
BANF1,Singleton
SNRPB,Singleton
RPL13,Singleton
RPL11,Singleton
EIF4G2,Singleton
RPL19,Singleton
ARF4,Singleton
RPS7,Singleton
CCT3,Singleton
UGP2,Singleton
TMED2,Singleton
MT2A,Singleton
RPS18,Singleton
MARCKSL1,Singleton
PPP1CB,Singleton
IER2,Singleton
MYBBP1A,Singleton
GMNN,Singleton
DEK,Singleton
VDAC3,Singleton
KDELR2,Singleton
ARHGDIA,Singleton
MFGE8,Singleton
ACAT1,Singleton
DNAJC9,Singleton
HSPA9,Singleton
SYNCRIP,Singleton
G3BP1,Singleton
HSPA2,Singleton
RPL5,Singleton
RPL4,Singleton
MKNK2,Singleton
RPL27,Singleton
HSPA4,Singleton
RUVBL1,Singleton
SSRP1,Singleton
RPL28,Singleton
NDUFB5,Singleton
NONO,Singleton
RPS15A,Singleton
RPS29,Singleton
GABARAP,Singleton
ERRFI1,Singleton
NUP205,Singleton
SUMO1,Singleton
RPS13,Singleton
RPL9,Singleton
MATR3,Singleton
MYH10,Singleton
SRSF1,Singleton
RPL31,Singleton
STIP1,Singleton
APEX1,Singleton
NDUFV2,Singleton
CCT2,Singleton
RPLP2,Singleton
MYADM,Singleton
CD164,Singleton
RPL34,Singleton
NEDD8,Singleton
RRAGA,Singleton
HNRNPM,Singleton
NCKAP1,Singleton
CCT6A,Singleton
ARL6IP1,Singleton
RAB31,Singleton
PFAS,Singleton
RPS26,Singleton
RPL12,Singleton
GPX4,Singleton
RPL37A,Singleton
GNAI3,Singleton
NAP1L1,Singleton
RPL24,Singleton
SVIL,Singleton
HNRNPD,Singleton
HSPA6,Singleton
RPL27A,Singleton
RPL14,Singleton
CCT8,Singleton
MEF2D,Singleton
NPTN,Singleton
CCT7,Singleton
PRDX6,Singleton
PAM,Singleton
ABCE1,Singleton
SET,Singleton
CHERP,Singleton
RPS28,Singleton
ETHE1,Singleton
ATP6V0B,Singleton
ZWILCH,Singleton
RPL26,Singleton
NEK7,Singleton
NOP56,Singleton
MTHFD1,Singleton
ACTR3,Singleton
TAF15,Singleton
RPS27,Singleton
PA2G4,Singleton
RPL30,Singleton
RTN3,Singleton
ARF1,Singleton
DNAJB9,Singleton
LONP1,Singleton
RPL38,Singleton
AP2B1,Singleton
NSDHL,Singleton
RBM3,Singleton
CS,Singleton
HEXA,Singleton
LIPA,Singleton
RPL36,Singleton
RPS9,Singleton
FAU,Singleton
PRDX4,Singleton
RPS16,Singleton
ATP1B3,Singleton
RPL22,Singleton
PRMT1,Singleton
FDPS,Singleton
RPL35,Singleton
RPL15,Singleton
EEF1D,Singleton
TPM3,Singleton
GART,Singleton
MRPS12,Singleton
PTGES3,Singleton
MAPK6,Singleton
PTP4A1,Singleton
CCT4,Singleton
NUP188,Singleton
TRAP1,Singleton
MAGED1,Singleton
DHX15,Singleton
NUCKS1,Singleton
MYL6,Singleton
ELOVL5,Singleton
BCAP31,Singleton
GSK3A,Singleton
RPS12,Singleton
RPS25,Singleton
PSIP1,Singleton
TFAM,Singleton
IMPDH2,Singleton
ADD1,Singleton
TOMM20,Singleton
ACTC1,Singleton
CHORDC1,Singleton
ADSL,Singleton
HSPA1L,Singleton
ATAD3A,Singleton
NIPBL,Singleton
MDH1,Singleton
NSUN2,Singleton
CBFB,Singleton
MAP1LC3B,Singleton
BAZ1B,Singleton
RPS21,Singleton
MED25,Singleton
DAP,Singleton
RPL17,Singleton
SH3BGRL3,Singleton
TMBIM6,Singleton
NUP62,Singleton
ABCC5,Singleton
GOT1,Singleton
GLO1,Singleton
HAX1,Singleton
PUF60,Singleton
CSDE1,Singleton
DUT,Singleton
ALDH18A1,Singleton
DHX37,Singleton
RAB11B,Singleton
MORF4L1,Singleton
NOC2L,Singleton
KDM5B,Singleton
PGD,Singleton
PLOD3,Singleton
PRPS1,Singleton
NCOA4,Singleton
EXOSC4,Singleton
RAD21,Singleton
RPA2,Singleton
SMS,Singleton
SRSF3,Singleton
RPS27L,Singleton
SH3BGRL,Singleton
NEU1,Singleton
CCDC86,Singleton
MYL12B,Singleton
NCLN,Singleton
CYB5R3,Singleton
IFRD2,Singleton
GAR1,Singleton
PSMD9,Singleton
NASP,Singleton
UNG,Singleton
SRSF7,Singleton
SSR3,Singleton
HMGB3,Singleton
TRAF2,Singleton
SRSF5,Singleton
DDX54,Singleton
SCPEP1,Singleton
CCNE1,Singleton
SNRPE,Singleton
RAB1B,Singleton
ILF2,Singleton
CAP1,Singleton
GOT2,Singleton
IDH3A,Singleton
SNRPD2,Singleton
ZFAND5,Singleton
RAP1B,Singleton
PPT1,Singleton
PSMG1,Singleton
PPID,Singleton
TAPBP,Singleton
G6PD,Singleton
SRSF6,Singleton
IPO9,Singleton
NUDT21,Singleton
NHP2,Singleton
ARL4A,Singleton
SORD,Singleton
API5,Singleton
SP3,Singleton
KDM1A,Singleton
UQCRQ,Singleton
RPL22L1,Singleton
RFC1,Singleton
YBX3,Singleton
DDOST,Singleton
YRDC,Singleton
BLCAP,Singleton
GNA13,Singleton
TXN,Singleton
SMARCA5,Singleton
UQCRB,Singleton
DDX19A,Singleton
NAA50,Singleton
NR2C2,Singleton
POLA1,Singleton
NOP16,Singleton
ATP6V0D1,Singleton
TUBG1,Singleton
CHKA,Singleton
MLH1,Singleton
AIMP2,Singleton
UBE2D3,Singleton
ANAPC1,Singleton
POP4,Singleton
DNAJB6,Singleton
RPN2,Singleton
POLR2L,Singleton
CDC37,Singleton
UBE2N,Singleton
PHYH,Singleton
GLA,Singleton
PAK2,Singleton
SNRPD3,Singleton
HAT1,Singleton
RPL39L,Singleton
NOP10,Singleton
PPRC1,Singleton
TOMM40,Singleton
GRWD1,Singleton
PDS5A,Singleton
CDK2AP1,Singleton
MED13L,Singleton
MDN1,Singleton
MANF,Singleton
CDC27,Singleton
RBMX,Singleton
ARPC3,Singleton
RBX1,Singleton
NDUFAB1,Singleton
ING1,Singleton
RNMT,Singleton
SUPT16H,Singleton
PBRM1,Singleton
NFKBIB,Singleton
RTN2,Singleton
NDUFA13,Singleton
TSR1,Singleton
SNRPG,Singleton
DYNLT3,Singleton
HNRNPA0,Singleton
ALG8,Singleton
NDUFV1,Singleton
SRPK1,Singleton
E2F3,Singleton
ERH,Singleton
EXOSC2,Singleton
PPAT,Singleton
SIN3A,Singleton
AHSA1,Singleton
POLR2E,Singleton
PRPF4,Singleton
KDM3B,Singleton
RABAC1,Singleton
NDE1,Singleton
TOR1A,Singleton
SDHA,Singleton
CAB39,Singleton
SNX3,Singleton
NOP2,Singleton
TAX1BP3,Singleton
EIF6,Singleton
NDC1,Singleton
IFNAR1,Singleton
SLC25A6,Singleton
FIS1,Singleton
PPIG,Singleton
VMP1,Singleton
RPA3,Singleton
AHCTF1,Singleton
FHL3,Singleton
TATDN2,Singleton
CISD1,Singleton
NUP155,Singleton
NDUFS1,Singleton
NUP107,Singleton
ARPC4,Singleton
SNRPF,Singleton
EIF3H,Singleton
NOP14,Singleton
CCDC71,Singleton
