,okved,cluster
515,OR5M4P,16
517,USP17L25,19
518,MIR1255B2,17
521,MIR6770-1,36
522,MIR6786,4
523,IGKV1-13,44
524,IGKV2D-40,35
528,OR51P1P,31
530,TRAJ36,0
531,MIR6800,3
532,TRAJ52,0
533,OR11G1P,33
534,IGKV2-28,14
537,TRAJ5,0
538,PLSCR5,27
539,MIR6854,28
540,OR2AH1P,21
542,MIR6832,41
545,TRBV2,6
547,MIR6743,4
548,MIR6757,39
549,OR5BN2P,23
550,MIR6731,17
552,OR7A18P,29
553,IGLV10-54,9
554,OR4A43P,7
556,IGKV1-17,14
557,TRAJ51,43
558,OR4A21P,16
561,MIR3915,12
564,TRAJ42,0
565,OR5G4P,21
567,OR4R1P,25
570,MIR6852,37
572,MIR10392,36
573,MIR8052,1
574,MIR8053,42
575,IGKV3-15,14
576,OR4V1P,16
578,TRAV26-1,6
580,OR4A44P,7
581,OR52J2P,2
583,MIR5590,20
586,MIR7851,39
587,MIR8054,1
588,MIR5701-3,47
590,IGLV4-69,9
592,MIR6749,1
593,MIR6856,28
595,TRAJ16,0
596,MIR3689D1,24
598,MIR151B,37
599,OR52X1P,31
602,MIR3672,12
604,MIR7975,3
605,MIR6887,3
606,TRAV12-1,6
607,SNORA75B,42
609,OR4A13P,16
610,OR5AL2P,21
612,TRAV12-3,6
613,USP17L30,19
615,OR52Y1P,22
617,OR4A12P,16
618,MIR3689F,24
621,LUNAR1,47
624,TRAV29DV5,6
625,MIR7106,39
627,OR4A40P,25
628,OR7E111P,33
629,MIR6741,37
630,OR6C5P,26
633,MIR6895,12
634,MYOPARR,36
638,MIR7852,17
639,OR5B15P,40
640,TRAV17,45
642,MIR3118-2,47
644,TRAJ57,0
645,OR5P4P,2
647,CT47A10,11
648,MIR6838,4
650,USP17L18,19
653,MIR6768,32
655,TRAJ20,0
657,IGHV3OR15-7,15
658,TRBV3-1,6
660,TRAV37,43
661,TRAJ38,0
662,IGKV1D-16,35
663,OR51F4P,2
665,OR8L1P,16
667,IGHV3OR16-8,15
668,MIR6755,1
669,IGKV6-21,44
671,OR4D7P,40
672,TRAJ9,0
673,OR4R3P,25
674,OR51A6P,2
675,IGKV2D-30,35
676,TRNAD-GUC,30
678,OR5AP1P,16
679,MIR3689D2,24
680,MIR7976,34
683,MIR6827,38
684,OR7E23P,33
687,OR7E43P,33
688,TRBV6-3,46
689,MIR1295B,17
692,IGKV5-2,35
693,TRAJ27,0
694,OR7E25P,29
695,MIR4259,17
696,IGHV4-59,14
701,OR7G15P,29
702,MIR6857,12
703,TRAV8-2,6
704,TRAJ24,0
706,TRAJ7,0
709,TRNAA-AGC,30
713,TRAV8-6,6
714,MIR4448,37
715,MIR5701-1,47
716,MIR3179-4,32
718,IGKV2D-26,44
719,IGKV3D-7,44
720,TRAV4,45
722,OR7A8P,29
724,OR6C7P,26
725,OR7E31P,33
726,USP17L24,19
729,OR8Q1P,8
730,MIR3670-1,32
731,OR7E105P,31
735,TRAJ54,0
737,IGHV4-28,15
