,okved,cluster
1,TRAJ8,0
2,TRAJ6,0
3,MIR8087,1
4,OR51A5P,2
7,MIR6801,3
8,MIR6807,4
9,MIR6799,3
12,MIR6844,5
14,TRBV18,6
15,OR4B2P,7
18,OR8B1P,8
19,IGLV3-22,9
20,OR11H3P,10
23,OR11J1P,10
25,TRAJ35,0
27,CT47A2,11
29,MIR1321,12
30,MIR4525,13
31,TRAJ1,0
32,TRAJ26,0
34,MIR12129,4
35,IGHV3-21,14
36,IGHV3-16,15
37,OR9G2P,16
38,MIR6739,17
42,MIR378H,18
43,OR8B10P,8
44,TRAJ14,0
45,USP17L20,19
46,USP17L22,19
47,IGLV5-37,9
48,MIR4436B1,20
52,MIR3681,20
53,IGKV1-39,14
54,OR4H6P,10
55,OR4P1P,21
56,OR51A3P,22
57,MIR6719,3
58,OR5AN2P,23
61,MIR6077,17
62,TRAJ29,0
64,MIR3689A,24
69,MIR6128,1
70,CT47A6,11
71,TRAJ45,0
72,TRAJ48,0
73,OR4A42P,25
75,TRAV9-2,6
76,MIR6835,4
77,MIR513A1,12
79,OR10U1P,26
81,PLA2G2E,27
83,CT47A9,11
85,FAM74A7,28
87,USP17L17,19
89,OR8B9P,8
93,IGHV3-38,15
95,MIR6846,5
97,MIR4999,4
98,OR5M5P,16
100,OR8X1P,8
103,MIR6865,13
104,OR4A3P,7
106,OR7A15P,29
107,TRNAV-CAC,30
109,OR5AC4P,31
110,MIR6783,13
113,IGKV2-30,14
115,OR5F2P,21
116,OR5D17P,16
117,TRAJ13,0
119,OR5BR1P,23
120,TRAJ37,0
121,MIR8059,13
125,USP17L28,19
127,OR4A18P,31
131,OR4A17P,16
132,MIR6770-3,32
134,CT47A1,11
135,OR4A19P,33
136,OR10AF1P,23
139,OR4Q1P,10
141,TRBV29-1,6
142,OR7D1P,29
143,OR5P1P,2
144,TRAJ34,0
146,MIR5704,34
147,MIR6509,4
148,TRAJ39,0
149,OR8I1P,21
150,OR51C4P,2
151,OR11J5P,10
153,MIR3181,4
155,IGKV1D-12,35
156,OR5J1P,16
157,MIR6830,18
158,IGHV1OR15-9,15
159,OR5BN1P,21
161,OR2AM1P,31
162,OR5AZ1P,23
163,MIR6747,1
164,PLA2G2D,27
165,MIR6088,36
167,OR8A2P,8
168,OR51A8P,22
169,OR6C66P,31
172,MIR4433B,37
173,MIR6828,38
174,MIR6511B1,32
175,MIR6074,39
177,MIR6131,18
180,TRAJ53,0
181,OR4A2P,7
182,IGLV11-55,9
183,OR52Q1P,31
184,TRBV5-6,6
186,MIR6863,32
187,TRNAI-AAU,30
189,OR4C14P,21
190,OR4A10P,16
193,IGLV1-47,14
196,MIR4666B,12
197,MIR6829,34
198,MIR378I,37
201,OR5B1P,23
203,MIR8076,38
204,IGLV5-45,9
207,MIR7977,37
208,PLA2G12B,27
209,MIR4436B2,20
210,OR5BP1P,40
212,MIR6833,41
214,MIR7844,39
216,OR5W1P,21
217,IGHV3-13,35
218,MIR4433A,20
219,MIR8058,32
221,IGLV2-14,14
223,IGHV5-51,14
225,OR5D15P,16
226,OR52E7P,31
227,MIR6825,34
228,TRBV6-2,6
229,MIR3135B,41
231,TRAV21,6
232,MIR6878,17
235,MIR6129,13
236,MIR7849,42
240,MIR5680,5
243,TRAJ46,43
245,MIR7157,20
246,MIR7856,17
247,TRAJ33,0
248,MIR548BA,20
249,IGLV2-33,9
251,MIR6737,4
253,IGHV4-4,15
255,CT47A4,11
257,TRAJ58,0
258,IGKV6D-21,44
259,OR52J1P,2
260,USP17L19,19
261,IGHV3OR16-12,15
262,OR5D2P,40
263,TRAV31,43
265,OR8C1P,8
270,MIR6853,28
272,MIR7974,4
273,IGLV3-12,9
274,OR4A45P,7
275,MIR6873,41
277,TRAV14DV4,6
279,TRAV15,43
280,MIR6879,1
281,TRBV5-1,45
282,CT47A3,11
284,OR4K6P,43
286,OR9R1P,26
287,TRBV5-7,46
288,TRAJ55,43
290,MIR6811,20
291,MIR3689E,24
293,TRBV6-8,46
294,IGKV1-12,14
295,OR4C9P,7
296,MIR4477B,28
298,TRAV8-4,6
301,TRBV7-9,45
302,IGKV2-40,44
303,USP17L13,19
304,MIR548AM,12
305,TRBV9,45
306,IGHV3-35,15
307,MIR5706,18
308,MIR3670-3,32
309,MIR8055,5
314,MIR6864,13
315,IGHV3-64,15
319,TFAP2A-AS2,4
320,OR4A41P,25
321,OR9I3P,40
323,OR8K2P,21
324,TRAJ50,43
325,MIR6767,32
326,OR51F5P,22
328,MIR3689C,24
330,MIR6736,4
331,MIR6750,1
333,OR5BB1P,23
334,MIR6752,4
336,USP17L10,19
337,PKD1P4-NPIPA8,32
338,CT47A5,11
339,MIR1255A,42
340,TRBV6-5,45
342,OR5BD1P,23
343,OR5B10P,40
344,OR5BQ1P,23
347,MIR6794,36
348,USP17L15,19
349,OR5M2P,16
350,IGKV3D-20,35
353,OR52E3P,22
358,MIR5787,34
359,MIR10400,4
360,OR4C50P,25
361,PLA2G2F,27
367,MIR7110,34
369,OR6C64P,26
374,MIR6791,4
376,IGKV1-16,35
378,IGLV3-21,14
379,MIR3670-2,32
380,MIR6802,3
381,MIR5591,42
382,OR5AM1P,16
383,IGHV3-53,35
384,OR5B19P,31
388,TRBV6-1,6
389,MIR3670-4,32
390,MIR5588,37
391,CT47A8,11
392,OR9I2P,40
395,TRBV7-2,6
396,MIR6806,3
397,MIR6727,17
398,MIR4771-2,20
399,TRAJ40,0
400,TRAJ25,0
402,OR8V1P,40
404,OR7E106P,33
405,MIR4447,38
406,MIR8082,42
407,OR4R2P,25
408,OR5M12P,16
409,IGHV3OR16-9,15
410,TRBJ2-5,46
411,MIR6075,18
412,MIR6740,17
414,MIR1285-1,37
415,USP17L26,19
416,OR4A9P,21
420,MIR6082,42
423,MIR4428,17
424,OR7A3P,29
426,MIR3689B,24
427,USP17L29,19
430,MIR7108,3
431,IGKV3-11,14
433,USP17L27,19
434,MIR5589,3
437,OR51F3P,2
438,MIR5088,4
439,TRBV4-3,46
440,TRBJ2-4,46
442,IGHV3-11,35
443,MIR6876,5
444,OR4C10P,7
445,IGLV2-8,14
446,OR9G3P,16
449,MIR8074,3
451,MIR5701-2,47
452,IGHV3-7,14
453,OR4C7P,25
455,TRNAG-GCC,30
457,OR4A48P,25
459,TRAV13-1,6
460,MIR548AX,12
462,OR8K4P,21
463,OR5M13P,16
464,OR10G1P,43
465,TRNAG-UCC,30
467,USP17L21,19
468,MIR544B,38
469,TRAJ22,0
470,IGHV3OR16-13,15
472,OR52Z1P,22
474,OR7E109P,33
475,IGLV8-61,9
476,MIR6885,3
477,TRAJ43,0
478,MIR4507,37
481,TRAJ21,0
485,TRAV28,43
486,MIR7704,37
487,TRAJ32,0
488,OR5AK1P,23
489,OR4A50P,21
490,TRBV4-1,6
491,MIR6746,1
493,OR9M1P,31
495,MIR4438,20
498,MIR6858,12
499,OR4A6P,7
500,MIR6826,38
501,MIR6847,5
502,TRAV32,43
503,MIR5584,17
504,MIR5691,1
507,OR4A46P,31
508,MIR3116-2,17
509,MIR6793,3
510,OR51A9P,22
511,MIR6721,41
512,MIR548AW,28
513,IGLV3-16,9
514,MIR6822,38
